domainName,idKab,idParent,idPro,idWilayah_1,kodeKab,kodeKec,kodeKel,kodePro,namaKab,namaPro,namaWilayah,tingkatWilayah,alokasiKursi,alokasiSisaKursi,createdAt,createdBy,id,idVersi,idWilayah,jumlahPenduduk,nama,noDapil,parent,peringkatPenduduk,sisaPenduduk,statusCoterminous,tingkat,totalAlokasiKursi,updatedAt,updatedBy
pidiejayakab,6166,1,1,6166,1118,111800,1118000000,11,PIDIE JAYA,ACEH,PIDIE JAYA,2,8,0,"Dec 31, 2017 2:54:44 PM",hafizh,2930,783,6166,50760,PIDIE JAYA 1,1,-1,4,336,False,2,8,"Dec 31, 2017 2:54:44 PM",hafizh
pidiejayakab,6166,1,1,6166,1118,111800,1118000000,11,PIDIE JAYA,ACEH,PIDIE JAYA,2,5,1,"Dec 31, 2017 2:54:44 PM",hafizh,2931,783,6166,37442,PIDIE JAYA 2,2,-1,1,5927,False,2,6,"Dec 31, 2017 2:54:44 PM",hafizh
pidiejayakab,6166,1,1,6166,1118,111800,1118000000,11,PIDIE JAYA,ACEH,PIDIE JAYA,2,5,1,"Dec 31, 2017 2:54:44 PM",hafizh,2932,783,6166,36525,PIDIE JAYA 3,3,-1,2,5010,False,2,6,"Dec 31, 2017 2:54:44 PM",hafizh
pidiejayakab,6166,1,1,6166,1118,111800,1118000000,11,PIDIE JAYA,ACEH,PIDIE JAYA,2,5,0,"Dec 31, 2017 2:54:44 PM",hafizh,2933,783,6166,32861,PIDIE JAYA 4,4,-1,3,1346,False,2,5,"Dec 31, 2017 2:54:44 PM",hafizh
bandaacehkota,6397,1,1,6397,1171,117100,1171000000,11,KOTA BANDA ACEH,ACEH,KOTA BANDA ACEH,2,7,0,"Dec 31, 2017 3:12:03 PM",vici,5552,1345,6397,55980,KOTA BANDA ACEH 1,1,-1,5,260,False,2,7,"Dec 31, 2017 2:34:22 PM",hafizh
bandaacehkota,6397,1,1,6397,1171,117100,1171000000,11,KOTA BANDA ACEH,ACEH,KOTA BANDA ACEH,2,5,1,"Dec 31, 2017 3:12:03 PM",vici,5553,1345,6397,42402,KOTA BANDA ACEH 2,2,-1,1,2602,False,2,6,"Dec 31, 2017 2:34:22 PM",hafizh
bandaacehkota,6397,1,1,6397,1171,117100,1171000000,11,KOTA BANDA ACEH,ACEH,KOTA BANDA ACEH,2,7,0,"Dec 31, 2017 3:12:03 PM",vici,5554,1345,6397,57727,KOTA BANDA ACEH 3,3,-1,3,2007,False,2,7,"Dec 31, 2017 2:34:22 PM",hafizh
bandaacehkota,6397,1,1,6397,1171,117100,1171000000,11,KOTA BANDA ACEH,ACEH,KOTA BANDA ACEH,2,6,0,"Dec 31, 2017 3:12:03 PM",vici,5555,1345,6397,48374,KOTA BANDA ACEH 4,4,-1,4,614,False,2,6,"Dec 31, 2017 2:34:22 PM",hafizh
bandaacehkota,6397,1,1,6397,1171,117100,1171000000,11,KOTA BANDA ACEH,ACEH,KOTA BANDA ACEH,2,4,0,"Dec 31, 2017 3:12:03 PM",vici,5556,1345,6397,34331,KOTA BANDA ACEH 5,5,-1,2,2491,False,2,4,"Dec 31, 2017 2:34:22 PM",hafizh
sabangkota,6497,1,1,6497,1172,117200,1172000000,11,KOTA SABANG,ACEH,KOTA SABANG,2,9,1,"Dec 31, 2017 2:37:27 PM",hafizh,2862,768,6497,19450,KOTA SABANG 1,1,-1,1,1432,False,2,10,"Dec 31, 2017 2:37:27 PM",hafizh
sabangkota,6497,1,1,6497,1172,117200,1172000000,11,KOTA SABANG,ACEH,KOTA SABANG,2,10,0,"Dec 31, 2017 2:37:27 PM",hafizh,2863,768,6497,20590,KOTA SABANG 2,2,-1,2,570,False,2,10,"Dec 31, 2017 2:37:27 PM",hafizh
lhokseumawekota,6518,1,1,6518,1173,117300,1173000000,11,KOTA LHOKSEUMAWE,ACEH,KOTA LHOKSEUMAWE,2,10,1,"Dec 31, 2017 2:36:49 PM",hafizh,2858,767,6518,82100,KOTA LHOKSEUMAWE 1,1,-1,1,5860,False,2,11,"Dec 31, 2017 2:36:49 PM",hafizh
