idPro,namaPro,idKab,namaKab,totalAlokasiKursi
78203,PAPUA,80015,JAYAWIJAYA,30
78203,PAPUA,80144,JAYAPURA,25
78203,PAPUA,80309,NABIRE,25
78203,PAPUA,80402,KEPULAUAN YAPEN,25
78203,PAPUA,80526,BIAK NUMFOR,25
78203,PAPUA,80724,PUNCAK JAYA,30
78203,PAPUA,80851,PANIAI,25
78203,PAPUA,81007,MIMIKA,35
78203,PAPUA,81104,SARMI,20
78203,PAPUA,81192,KEEROM,20
78203,PAPUA,81261,PEGUNUNGAN BINTANG,25
78203,PAPUA,81357,YAHUKIMO,35
81877,PAPUA BARAT,81878,MAYBRAT,20
81877,PAPUA BARAT,81992,TAMBRAUW,20
